name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,exonStarts,exonEnds,score,name2,cdsStartStat,cdsEndStat,exonFrames
NM_001005484.1,chr1,+,69090,70008,69090,70008,1,"69090,","70008,",0,OR4F5,cmpl,cmpl,"0,"
NM_001005221.2,chr1,+,367658,368597,367658,368597,1,"367658,","368597,",0,OR4F29,cmpl,cmpl,"0,"
NM_001005277.1,chr1,-,621095,622034,621095,622034,1,"621095,","622034,",0,OR4F16,cmpl,cmpl,"0,"
NM_152486.2,chr1,+,861120,879961,861321,879533,14,"861120,861301,865534,866418,871151,874419,874654,876523,877515,877789,877938,878632,879077,879287,","861180,861393,865716,866469,871276,874509,874840,876686,877631,877868,878438,878757,879188,879961,",0,SAMD11,cmpl,cmpl,"-1,0,0,2,2,1,1,1,2,1,2,1,0,0,"
NM_015658.3,chr1,-,879582,894679,880073,894620,19,"879582,880436,880897,881552,881781,883510,883869,886506,887379,887791,888554,889161,889383,891302,891474,892273,892478,894308,894594,","880180,880526,881033,881666,881925,883612,883983,886618,887519,887980,888668,889272,889462,891393,891595,892405,892653,894461,894679,",0,NOC2L,cmpl,cmpl,"1,1,0,0,0,0,0,2,0,0,0,0,2,1,0,0,2,2,0,"
NM_198317.2,chr1,+,895966,901099,896073,900571,12,"895966,896672,897008,897205,897734,898083,898488,898716,899299,899486,899728,900342,","896180,896932,897130,897427,897851,898297,898633,898884,899388,899560,899910,901099,",0,KLHL17,cmpl,cmpl,"0,2,1,0,0,0,1,2,2,1,0,2,"
NM_032129.2,chr1,+,901876,910488,901911,909955,16,"901876,902083,905656,905900,906065,906258,906492,906703,907454,907667,908240,908565,908879,909212,909695,909821,","901994,902183,905803,905981,906138,906386,906588,906784,907530,907804,908390,908706,909020,909431,909744,910488,",0,PLEKHN1,cmpl,cmpl,"0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,"
NM_001160184.1,chr1,+,901876,910488,901911,909955,15,"901876,902083,905656,905900,906065,906258,906456,906703,907454,907667,908240,908879,909212,909695,909821,","901994,902183,905803,905981,906138,906386,906588,906784,907530,907804,908390,909020,909431,909744,910488,",0,PLEKHN1,cmpl,cmpl,"0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,"
NM_001291367.1,chr1,-,910578,917497,911551,917497,5,"910578,911878,914260,916516,917444,","911649,912004,916037,916553,917497,",0,PERM1,cmpl,cmpl,"1,1,0,2,0,"
NM_001291366.1,chr1,-,910578,917497,911551,916409,4,"910578,911878,914260,917444,","911649,912004,916427,917497,",0,PERM1,cmpl,cmpl,"1,1,0,-1,"
NM_021170.3,chr1,-,934341,935552,934438,935353,4,"934341,934905,935071,935245,","934812,934993,935167,935552,",0,HES4,cmpl,cmpl,"1,0,0,0,"
NM_001142467.1,chr1,-,934343,935552,934438,935353,3,"934343,934905,935071,","934812,934993,935552,",0,HES4,cmpl,cmpl,"1,0,0,"
NM_005101.3,chr1,+,948846,949920,948953,949858,2,"948846,949363,","948956,949920,",0,ISG15,cmpl,cmpl,"0,0,"
NM_198576.3,chr1,+,955502,991499,955552,990361,36,"955502,957580,970656,976044,976552,976857,977335,978618,978917,979202,979488,979713,980540,980738,981112,981343,981539,981776,982199,982706,982952,983155,983391,984246,984615,984945,985282,985612,985806,986105,986632,986832,987107,989132,989827,990203,","955753,957842,970704,976260,976777,977082,977542,978837,979112,979403,979637,979819,980657,980903,981256,981468,981645,982115,982337,982834,983067,983275,983745,984439,984831,985175,985417,985709,985971,986217,986749,987025,987195,989357,989931,991499,",0,AGRN,cmpl,cmpl,"0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,2,2,1,1,2,2,0,0,1,2,2,1,"
